distance_km,duration_min,vehicle_type,make,model,vehicle_year,seats,fuel_type,nominal_l_per_100km,allowed_load_kg,passengers,load_kg,traffic_band,weather,ac_used,urban_share,highway_share,actual_liters
436.5,522.9,Bus,Mercedes,Sprinter,2019,40,Diesel,13.3,2000,29,296.1,Low,Windy,1,0.87,0.13,68.86
393.5,880.3,Bus,Isuzu,Bus,2018,40,Diesel,19.8,1500,24,674.4,Low,Clear,1,0.17,0.83,85.79
181.4,274.9,Car,Hyundai,Elantra,2016,5,Petrol,8.2,400,1,162.5,Low,Windy,0,0.81,0.19,18.53
118.9,132.7,Bus,Mercedes,Sprinter,2016,40,Diesel,16.1,1500,39,642.8,Low,Windy,0,0.36,0.64,20.75
260.9,285.3,Car,Toyota,Corolla,2024,5,Diesel,7.5,400,1,253.6,Low,Rain,0,0.66,0.34,22.78
441.6,733.0,Bus,Isuzu,Bus,2022,18,Diesel,15.7,2000,3,426.9,High,Clear,1,0.21,0.79,89.13
21.5,62.6,Van,Ford,Transit,2023,14,Petrol,11.0,700,1,234.6,Medium,Rain,1,0.32,0.68,3.34
403.1,599.8,Van,Hyundai,H1,2023,8,Petrol,11.7,900,8,629.0,Medium,Windy,0,0.72,0.28,56.66
79.2,121.8,Car,Kia,Cerato,2022,5,Diesel,6.8,600,3,376.6,Medium,Windy,0,0.16,0.84,6.68
166.2,153.0,Car,Hyundai,Elantra,2021,5,Diesel,6.1,400,2,278.0,Medium,Windy,1,0.75,0.25,14.17
411.5,839.2,Car,Toyota,Corolla,2022,4,Petrol,7.8,500,4,123.0,High,Windy,1,0.27,0.73,41.76
401.6,403.4,Bus,Toyota,Coaster,2020,30,Petrol,18.0,3000,30,846.3,Low,Windy,0,0.2,0.8,75.67
398.5,870.1,Van,Ford,Transit,2025,12,Diesel,10.4,1100,12,796.4,High,Rain,1,0.8,0.2,62.12
86.0,91.2,Bus,Isuzu,Bus,2025,30,Petrol,13.9,3000,30,1044.5,Low,Hot,1,0.24,0.76,13.96
283.1,330.0,Car,Kia,Cerato,2018,4,Diesel,7.6,600,2,363.2,High,Hot,0,0.66,0.34,32.25
346.3,495.9,Car,Toyota,Corolla,2019,4,Diesel,8.4,600,4,535.6,High,Windy,1,0.51,0.49,46.59
275.0,445.3,Car,Hyundai,Elantra,2021,5,Diesel,7.0,500,3,488.2,Low,Windy,0,0.37,0.63,22.67
367.0,351.6,Car,Kia,Cerato,2018,5,Petrol,8.2,500,2,386.3,Medium,Rain,1,0.85,0.15,45.77
397.6,455.0,Car,Hyundai,Elantra,2025,5,Diesel,6.1,500,5,23.9,Low,Rain,0,0.85,0.15,30.14
229.4,243.7,Bus,Isuzu,Bus,2022,22,Diesel,15.5,2000,20,822.9,Low,Hot,0,0.43,0.57,42.86
362.8,458.8,Car,Nissan,Sunny,2021,4,Diesel,6.1,400,2,144.6,High,Windy,0,0.43,0.57,29.9
304.8,284.3,Bus,Toyota,Coaster,2021,30,Petrol,16.3,1500,26,1080.5,High,Clear,1,0.33,0.67,71.2
427.0,861.0,Car,Nissan,Sunny,2025,4,Diesel,8.1,400,3,179.1,Medium,Hot,1,0.53,0.47,47.44
144.6,292.4,Car,Hyundai,Elantra,2022,5,Diesel,8.5,500,3,282.2,High,Windy,1,0.26,0.74,16.78
133.1,175.8,Bus,Mercedes,Sprinter,2020,40,Diesel,15.2,2000,26,985.7,Low,Windy,0,0.34,0.66,23.8
314.8,626.2,Bus,Toyota,Coaster,2024,22,Diesel,14.4,3000,19,302.4,Low,Hot,0,0.14,0.86,48.53
341.4,552.2,Bus,Mercedes,Sprinter,2019,40,Petrol,17.6,2000,4,1091.4,Low,Hot,0,0.88,0.12,70.39
273.2,258.8,Van,Toyota,Hiace,2025,12,Petrol,12.0,700,8,692.6,High,Rain,0,0.82,0.18,50.34
356.9,447.6,Bus,Toyota,Coaster,2021,30,Petrol,18.0,1500,6,740.9,High,Rain,1,0.54,0.46,92.16
429.5,690.9,Van,Toyota,Hiace,2020,8,Petrol,9.5,700,1,197.9,Medium,Hot,0,0.67,0.33,51.37
103.3,108.0,Van,Ford,Transit,2025,8,Petrol,11.1,900,8,678.0,High,Windy,1,0.7,0.3,18.47
373.8,351.8,Car,Nissan,Sunny,2016,5,Diesel,6.2,600,5,106.9,Medium,Rain,0,0.68,0.32,32.21
253.7,288.1,Car,Nissan,Sunny,2016,4,Petrol,7.3,500,1,210.1,Low,Hot,0,0.14,0.86,21.04
171.6,174.3,Van,Toyota,Hiace,2022,12,Diesel,10.1,700,7,275.4,High,Hot,1,0.2,0.8,26.53
173.8,311.6,Car,Kia,Cerato,2024,5,Petrol,7.7,600,2,179.9,High,Clear,0,0.79,0.21,17.32
334.5,476.5,Bus,Mercedes,Sprinter,2019,40,Diesel,17.2,3000,14,910.2,Low,,1,0.3,0.7,75.05
138.7,328.7,Car,Kia,Cerato,2022,4,Diesel,8.5,600,2,383.1,Medium,Rain,0,0.93,0.07,17.44
112.2,218.0,Van,Hyundai,H1,2023,10,Petrol,9.7,700,3,567.9,Low,Rain,1,0.57,0.43,13.78
124.5,155.1,Car,Nissan,Sunny,2016,5,Diesel,6.2,600,1,129.1,High,Hot,1,0.28,0.72,12.02
181.5,317.5,Car,Toyota,Corolla,2019,5,Diesel,8.3,600,3,240.8,High,Windy,1,0.32,0.68,21.62
12.2,34.3,Car,Kia,Cerato,2018,5,Diesel,7.0,600,4,191.2,Low,Windy,0,0.42,0.58,1.03
67.3,91.0,Van,Hyundai,H1,2018,14,Petrol,10.3,1100,9,1089.5,Low,Clear,0,0.9,0.1,8.73
279.9,325.7,Car,Hyundai,Elantra,2016,4,Diesel,6.5,500,4,336.5,Low,Clear,1,0.11,0.89,21.95
238.4,419.6,Bus,Isuzu,Bus,2017,40,Petrol,18.6,1500,17,982.0,Medium,Rain,0,0.42,0.58,59.45
216.8,265.0,Bus,Mercedes,Sprinter,2024,18,Petrol,13.7,2000,3,609.8,Medium,Windy,0,0.86,0.14,39.84
255.8,607.8,Van,Hyundai,H1,2024,8,Petrol,12.2,1100,6,36.9,Low,Hot,1,0.89,0.11,37.43
227.9,205.0,Bus,Toyota,Coaster,2017,40,Diesel,18.3,1500,28,293.9,Low,Windy,1,0.92,0.08,51.84
43.1,73.9,Car,Kia,Cerato,2022,5,Petrol,7.1,600,1,67.6,Low,Rain,0,0.73,0.27,3.55
252.9,323.3,Van,Hyundai,H1,2023,8,Petrol,9.0,700,2,260.7,Low,Windy,1,0.11,0.89,26.19
139.0,183.3,Bus,Isuzu,Bus,2020,22,Diesel,17.8,1500,14,345.6,Medium,Rain,0,0.41,0.59,33.8
174.1,179.7,Car,Hyundai,Elantra,2025,5,Petrol,6.0,500,4,411.4,High,Hot,1,0.37,0.63,16.81
129.7,143.0,Van,Hyundai,H1,2022,14,Petrol,12.4,700,10,155.9,High,Hot,0,0.91,0.09,22.3
298.1,337.5,Car,Nissan,Sunny,2020,5,Diesel,6.3,500,1,235.6,High,Rain,1,0.55,0.45,31.01
79.0,109.2,Bus,Isuzu,Bus,2021,18,Petrol,13.8,1500,13,1160.8,Medium,Rain,0,0.11,0.89,13.56
136.5,130.4,Bus,Isuzu,Bus,2017,22,Petrol,15.4,1500,5,431.0,Medium,Rain,0,0.54,0.46,27.27
382.9,446.1,Van,Toyota,Hiace,2016,12,Diesel,8.7,1100,3,1024.3,High,Hot,0,0.57,0.43,48.71
333.1,325.0,Bus,Mercedes,Sprinter,2016,22,Petrol,17.5,2000,14,478.8,High,,0,0.34,0.66,82.9
239.8,287.6,Van,Hyundai,H1,2023,10,Diesel,10.3,900,10,365.4,Low,Windy,1,0.82,0.18,31.53
171.1,342.1,Bus,Mercedes,Sprinter,2018,30,Petrol,13.8,2000,20,182.7,Medium,Rain,0,0.51,0.49,30.65
428.6,559.3,Car,Hyundai,Elantra,2021,5,Diesel,8.1,600,4,579.0,High,Rain,1,0.68,0.32,55.7
79.9,128.7,Car,Hyundai,Elantra,2020,5,Diesel,6.1,400,4,228.9,Low,Clear,1,0.76,0.24,6.29
394.3,906.0,Bus,Mercedes,Sprinter,2020,40,Diesel,13.7,3000,6,538.1,Low,Hot,0,0.79,0.21,64.29
161.1,275.2,Van,Toyota,Hiace,2025,10,Petrol,11.6,700,6,685.7,Medium,Windy,1,0.91,0.09,26.97
321.6,333.9,Van,Ford,Transit,2018,10,Petrol,11.3,700,7,352.8,High,Windy,1,0.42,0.58,49.85
330.3,455.9,Van,Hyundai,H1,2017,14,Diesel,9.8,700,6,598.1,High,,0,0.92,0.08,54.07
25.4,54.6,Bus,Isuzu,Bus,2016,22,Petrol,17.0,2000,1,166.6,Low,Rain,1,0.1,0.9,5.78
170.5,164.9,Van,Toyota,Hiace,2017,12,Petrol,8.9,900,7,570.5,High,Hot,1,0.66,0.34,24.53
444.7,614.7,Bus,Mercedes,Sprinter,2017,40,Petrol,13.1,3000,5,290.2,Low,Clear,0,0.37,0.63,66.78
200.8,230.2,Bus,Mercedes,Sprinter,2018,18,Petrol,16.7,1500,5,1105.5,High,Rain,0,0.17,0.83,45.56
251.3,310.1,Van,Hyundai,H1,2019,10,Diesel,9.5,1100,1,935.7,High,Windy,0,0.54,0.46,34.09
240.1,238.5,Van,Hyundai,H1,2017,8,Diesel,9.5,1100,6,162.5,High,Rain,1,0.56,0.44,33.2
230.4,277.0,Bus,Mercedes,Sprinter,2022,18,Petrol,14.8,1500,14,519.8,Medium,Clear,0,0.34,0.66,38.2
30.8,79.9,Van,Hyundai,H1,2019,8,Petrol,9.7,900,8,558.8,Low,Windy,0,0.2,0.8,3.53
331.2,683.1,Bus,Isuzu,Bus,2020,30,Petrol,14.2,1500,11,972.4,Medium,Clear,1,0.71,0.29,63.24
305.0,629.7,Car,Nissan,Sunny,2025,4,Petrol,6.9,500,1,41.1,Low,Hot,0,0.5,0.5,23.17
125.7,278.9,Bus,Isuzu,Bus,2021,40,Diesel,14.6,1500,33,814.5,Low,Hot,0,0.78,0.22,23.81
134.8,157.6,Van,Hyundai,H1,2019,8,Petrol,10.7,700,4,335.5,High,Rain,0,0.72,0.28,21.53
382.8,405.5,Car,Kia,Cerato,2022,4,Diesel,8.4,400,2,179.5,Low,Hot,1,0.18,0.82,41.41
268.4,600.8,Bus,Mercedes,Sprinter,2017,18,Diesel,16.5,3000,5,299.4,Medium,Windy,1,0.7,0.3,61.59
144.7,299.2,Car,Hyundai,Elantra,2023,4,Diesel,6.4,400,2,191.7,Medium,Windy,0,0.18,0.82,11.64
181.3,412.4,Car,Hyundai,Elantra,2021,5,Petrol,6.4,600,2,38.0,Medium,Rain,0,0.18,0.82,13.22
264.1,457.7,Car,Hyundai,Elantra,2017,5,Diesel,6.9,600,1,598.4,Low,Rain,0,0.18,0.82,24.45
81.9,151.4,Car,Nissan,Sunny,2022,5,Diesel,7.2,500,3,234.1,Low,Clear,0,0.65,0.35,6.57
358.7,334.1,Car,Nissan,Sunny,2024,4,Diesel,7.6,600,3,298.2,Medium,Windy,1,0.43,0.57,34.03
115.3,211.3,Car,Nissan,Sunny,2017,5,Petrol,7.9,400,1,310.3,Low,Rain,1,0.89,0.11,14.0
426.7,527.4,Bus,Isuzu,Bus,2021,30,Petrol,19.4,1500,7,1007.3,Medium,Windy,0,0.52,0.48,97.54
324.0,319.1,Van,Toyota,Hiace,2021,12,Petrol,12.2,700,6,60.5,Low,Hot,0,0.82,0.18,48.37
357.4,335.5,Bus,Mercedes,Sprinter,2022,30,Diesel,15.1,1500,6,854.5,High,Windy,0,0.67,0.33,78.45
19.4,50.4,Car,Hyundai,Elantra,2025,4,Diesel,8.4,600,2,391.0,Low,Rain,0,0.38,0.62,1.85
161.0,182.9,Car,Kia,Cerato,2017,5,Diesel,6.0,400,1,166.7,High,Rain,0,0.85,0.15,14.61
13.9,30.3,Van,Ford,Transit,2020,10,Petrol,9.2,700,6,135.7,Medium,Hot,0,0.56,0.44,1.69
74.9,162.2,Bus,Mercedes,Sprinter,2022,40,Diesel,19.6,1500,13,503.0,High,Windy,1,0.35,0.65,19.29
218.7,457.0,Car,Kia,Cerato,2025,4,Diesel,7.1,500,3,489.0,Medium,Clear,1,0.77,0.23,21.12
200.7,352.7,Car,Kia,Cerato,2020,5,Diesel,6.9,500,5,49.6,High,Clear,0,0.67,0.33,18.62
259.9,450.5,Bus,Mercedes,Sprinter,2023,40,Petrol,18.7,2000,26,1085.3,High,Clear,0,0.2,0.8,64.21
448.8,531.8,Car,Hyundai,Elantra,2019,4,Diesel,7.1,600,3,205.5,High,Clear,0,0.43,0.57,40.53
264.3,239.3,Car,Nissan,Sunny,2025,4,Diesel,7.0,400,1,233.8,Low,Windy,1,0.85,0.15,22.75
22.3,33.9,Car,Kia,Cerato,2022,5,Diesel,6.4,600,2,48.6,Medium,Windy,1,0.12,0.88,1.84
124.9,192.4,Bus,Mercedes,Sprinter,2021,22,Petrol,13.9,3000,7,541.2,Medium,Rain,1,0.8,0.2,24.32
19.7,57.3,Car,Toyota,Corolla,2019,4,Diesel,6.5,400,2,124.1,Medium,Rain,0,0.68,0.32,1.63
131.9,195.7,Bus,Isuzu,Bus,2017,30,Diesel,15.4,2000,19,940.2,Low,Hot,0,0.68,0.32,23.93
275.7,268.1,Van,Toyota,Hiace,2020,10,Diesel,10.9,700,5,308.2,Medium,Windy,1,0.31,0.69,38.98
154.6,260.9,Bus,Toyota,Coaster,2017,30,Petrol,15.1,1500,9,328.2,High,Windy,0,0.23,0.77,32.22
120.4,179.5,Bus,Toyota,Coaster,2020,22,Diesel,18.0,3000,2,708.0,High,Hot,1,0.72,0.28,30.66
48.4,105.9,Bus,Toyota,Coaster,2020,22,Diesel,18.9,3000,18,920.2,Low,Windy,0,0.29,0.71,9.72
390.5,485.7,Van,Ford,Transit,2016,12,Petrol,10.4,700,2,341.1,Low,Clear,1,0.55,0.45,49.31
222.0,258.9,Van,Ford,Transit,2017,14,Petrol,9.1,1100,11,82.7,Medium,Windy,0,0.75,0.25,24.02
21.8,52.8,Bus,Toyota,Coaster,2016,40,Petrol,15.8,2000,1,1072.6,High,Hot,0,0.68,0.32,5.14
371.6,592.6,Car,Toyota,Corolla,2017,5,Diesel,7.3,500,5,306.3,Medium,Rain,0,0.39,0.61,39.03
267.4,506.2,Car,Hyundai,Elantra,2016,4,Petrol,7.8,400,1,162.6,High,Windy,0,0.6,0.4,27.24
216.1,429.0,Bus,Mercedes,Sprinter,2020,40,Diesel,16.1,1500,1,375.3,High,Clear,1,0.63,0.37,49.8
276.0,301.7,Bus,Isuzu,Bus,2019,18,Petrol,15.0,1500,7,442.3,Medium,Windy,0,0.13,0.87,49.24
71.4,165.2,Car,Toyota,Corolla,2023,4,Diesel,7.7,400,1,363.8,High,Hot,1,0.94,0.06,8.5
9.3,39.0,Van,Hyundai,H1,2016,12,Petrol,10.2,700,6,263.1,Medium,Windy,0,0.42,0.58,1.17
64.0,96.1,Van,Ford,Transit,2017,14,Diesel,11.7,1100,14,192.1,Medium,Rain,1,0.25,0.75,10.05
121.4,208.7,Van,Hyundai,H1,2017,8,Diesel,12.1,900,4,880.5,High,Windy,0,0.47,0.53,22.16
384.1,366.3,Van,Toyota,Hiace,2023,8,Diesel,8.5,700,8,238.0,Medium,Windy,0,0.53,0.47,40.25
57.8,94.5,Van,Hyundai,H1,2021,14,Diesel,8.9,900,2,375.0,Low,Clear,0,0.77,0.23,6.2
380.7,596.1,Bus,Isuzu,Bus,2019,40,Petrol,19.7,2000,39,578.3,High,Windy,1,0.2,0.8,109.36
67.5,93.8,Van,Ford,Transit,2023,12,Diesel,11.3,700,2,192.9,Low,Hot,0,0.89,0.11,8.89
348.6,483.5,Car,Nissan,Sunny,2017,4,Petrol,8.3,600,2,579.0,Low,Clear,1,0.81,0.19,37.77
412.6,429.3,Car,Nissan,Sunny,2025,5,Diesel,7.3,500,3,485.8,Medium,Hot,0,0.45,0.55,40.8
310.5,288.7,Bus,Isuzu,Bus,2020,22,Diesel,14.4,3000,21,1170.7,Low,Windy,0,0.75,0.25,52.88
94.0,105.0,Van,Toyota,Hiace,2016,8,Diesel,8.6,700,5,484.7,Low,Clear,1,0.27,0.73,9.94
232.4,251.5,Bus,Isuzu,Bus,2019,22,Diesel,18.2,3000,22,75.4,Medium,Rain,1,0.91,0.09,64.3
341.0,432.6,Bus,Toyota,Coaster,2021,22,Petrol,17.3,2000,7,367.1,Low,Clear,0,0.92,0.08,68.07
212.5,195.8,Bus,Toyota,Coaster,2021,22,Petrol,14.1,2000,11,724.3,High,Windy,1,0.77,0.23,44.26
244.0,513.0,Car,Hyundai,Elantra,2024,4,Diesel,8.0,400,2,272.1,Medium,Windy,1,0.29,0.71,26.82
113.5,281.3,Car,Kia,Cerato,2025,5,Diesel,6.6,600,4,551.2,Low,Rain,1,0.56,0.44,9.81
41.6,114.4,Van,Toyota,Hiace,2024,12,Diesel,12.1,700,9,382.6,High,Clear,0,0.67,0.33,6.98
15.6,22.3,Bus,Isuzu,Bus,2018,40,Diesel,17.5,1500,5,84.0,Medium,Clear,0,0.87,0.13,3.25
33.1,40.0,Car,Nissan,Sunny,2025,4,Petrol,7.3,600,1,227.5,High,Clear,1,0.77,0.23,3.3
337.3,358.8,Van,Ford,Transit,2018,8,Petrol,10.4,1100,5,1056.9,Low,Windy,1,0.91,0.09,44.06
99.2,116.8,Bus,Toyota,Coaster,2021,18,Petrol,15.1,3000,5,209.9,Low,Windy,0,0.2,0.8,16.44
92.9,137.8,Bus,Isuzu,Bus,2017,18,Petrol,15.0,1500,12,171.3,High,Hot,0,0.34,0.66,17.52
167.2,271.4,Bus,Isuzu,Bus,2025,30,Diesel,17.9,1500,1,389.6,Low,Rain,1,0.81,0.19,36.78
41.5,91.8,Van,Hyundai,H1,2025,14,Petrol,10.7,700,9,153.6,High,Clear,0,0.86,0.14,6.14
296.0,575.3,Bus,Mercedes,Sprinter,2023,18,Petrol,16.9,3000,10,178.0,High,Clear,1,0.41,0.59,60.96
332.5,440.6,Car,Hyundai,Elantra,2018,5,Petrol,6.4,600,2,461.7,Low,Clear,1,0.41,0.59,24.23
318.2,419.7,Van,Hyundai,H1,2017,8,Petrol,8.7,1100,5,644.9,High,Hot,1,0.66,0.34,42.22
399.8,975.3,Bus,Toyota,Coaster,2023,30,Petrol,18.7,2000,15,215.4,Low,Windy,0,0.23,0.77,75.99
